DateTime,IUCR,Arrest,Domestic,Beat,District,Ward,Community,Year
07/02/2002 08:45:00 PM,0558,true,false,0935,009,11,61,2002
07/02/2002 08:45:00 PM,0910,false,false,0835,008,18,70,2002
07/02/2002 08:50:00 PM,1340,true,true,1823,018,27,8,2002
07/02/2002 08:50:00 PM,0460,false,true,0522,005,34,53,2002
07/02/2002 08:50:00 PM,0486,true,true,1422,014,26,23,2002
07/02/2002 08:50:00 PM,0460,true,true,0533,005,9,54,2002
07/02/2002 08:55:00 PM,0560,false,true,0511,005,21,49,2002
07/02/2002 08:55:00 PM,1570,true,false,0815,008,23,57,2002
07/02/2002 08:55:00 PM,0910,false,false,1232,012,25,28,2002
07/02/2002 08:56:00 PM,2027,true,false,1011,010,24,29,2002
07/02/2002 08:56:54 PM,0460,false,false,2525,025,26,22,2002
07/02/2002 08:58:17 PM,0820,false,false,0623,006,17,69,2002
07/02/2002 09:00:00 PM,0460,false,false,2522,025,31,19,2002
07/02/2002 09:00:00 PM,0281,false,true,1011,010,24,29,2002
07/02/2002 09:00:00 PM,1320,false,false,2433,024,48,77,2002
07/02/2002 09:00:00 PM,0610,false,false,1123,011,28,27,2002
07/02/2002 09:00:00 PM,0610,false,false,0331,003,5,43,2002
07/02/2002 09:00:00 PM,1305,false,false,0813,008,13,65,2002
07/02/2002 09:00:00 PM,0460,false,false,0711,007,20,68,2002
07/02/2002 09:00:00 PM,2820,false,false,1621,016,41,12,2002
07/02/2002 09:00:00 PM,0820,false,false,1213,012,27,28,2002
07/02/2002 09:00:00 PM,2024,true,false,0813,008,23,56,2002
07/02/2002 09:00:00 PM,1020,false,false,0412,004,8,45,2002
07/02/2002 09:00:00 PM,0910,false,false,0813,008,13,62,2002
07/02/2002 09:00:00 PM,0460,false,false,1133,011,24,29,2002
07/02/2002 09:00:00 PM,0810,false,false,1614,016,41,76,2002
07/02/2002 09:00:00 PM,0810,false,false,1711,017,40,13,2002
07/02/2002 09:00:00 PM,0820,false,false,0131,001,2,28,2002
07/02/2002 09:00:00 PM,0810,false,false,1033,010,12,30,2002
07/02/2002 09:00:00 PM,0810,false,false,1932,019,44,6,2002
07/02/2002 09:00:00 PM,0620,false,false,0912,009,14,58,2002
07/02/2002 09:00:00 PM,031A,false,false,1933,019,32,7,2002
07/02/2002 09:00:00 PM,0910,false,false,0912,009,14,58,2002
07/02/2002 09:00:00 PM,0910,false,false,0624,006,6,69,2002
07/02/2002 09:00:00 PM,0810,false,false,1812,018,43,7,2002
07/02/2002 09:00:00 PM,0810,false,false,0612,006,21,71,2002
